X,Y,Z,Label
0,0,-1,smooth
2,-1,12,smooth
1,-1,9,smooth
-4,6,9,smooth
-2,8,10,smooth
-4,-2,10,smooth
-1,-4,9,smooth
-1,-6,8,smooth
2,-5,7,smooth
1,0,6,smooth
0,-1,5,smooth
-1,-2,5,smooth
-4,-5,5,smooth
0,-4,4,smooth
1,-6,2,smooth
0,-8,3,smooth
2,-6,2,smooth
5,-6,1,smooth
8,-1,1,smooth
8,1,2,smooth
5,5,3,smooth
4,1,4,smooth
5,-1,4,smooth
4,4,3,smooth
4,4,4,smooth
4,3,4,smooth
8,-3,4,smooth
12,-3,5,smooth
11,3,4,smooth
2,-6,4,smooth
11,-1,3,smooth
16,3,2,smooth
13,3,3,smooth
21,3,2,smooth
21,0,1,smooth
12,-5,1,smooth
2,7,-2,smooth
12,5,-1,smooth
13,0,1,smooth
2,-1,0,smooth
6,-7,2,smooth
8,7,0,smooth
18,3,1,smooth
-1,4,0,smooth
-3,3,-1,smooth
-4,15,1,smooth
2,1,2,smooth
10,0,1,smooth
1,2,2,smooth
23,-5,2,smooth
16,5,0,smooth
16,10,1,smooth
2,2,2,smooth
1,1,2,smooth
15,0,1,smooth
-1,-2,2,smooth
25,4,2,smooth
5,13,0,smooth
6,4,1,smooth
7,6,3,smooth
15,-5,1,smooth
-3,11,-1,smooth
16,-1,0,smooth
-4,9,0,smooth
3,-2,-1,smooth
8,-11,2,smooth
25,-2,0,smooth
13,8,-1,smooth
13,5,-1,smooth
0,12,0,smooth
9,-9,0,smooth
10,-7,-2,smooth
11,4,-3,smooth
12,4,-4,smooth
-4,3,-4,smooth
-12,3,-4,smooth
7,-8,-2,smooth
7,-12,2,smooth
17,-11,0,smooth
12,-7,-1,smooth
12,6,-3,smooth
19,11,0,smooth
8,7,1,smooth
2,3,3,smooth
-12,-17,3,smooth
-7,-9,2,smooth
-1,3,3,smooth
5,4,0,smooth
8,1,2,smooth
4,7,-1,smooth
16,-9,3,smooth
20,5,2,smooth
5,6,-1,smooth
6,5,3,smooth
8,-3,2,smooth
6,-4,3,smooth
9,-2,2,smooth
-2,-1,0,smooth
5,0,2,smooth
28,-5,3,smooth
33,-3,2,smooth
11,-5,0,smooth
16,12,-3,smooth
15,0,0,smooth
-3,7,2,smooth
-6,-6,0,smooth
2,9,-1,smooth
-3,-13,3,smooth
-15,-4,-1,smooth
11,-2,2,pothole
13,13,-1,pothole
18,10,0,pothole
28,-7,3,pothole
19,-4,0,pothole
24,-3,-4,pothole
-3,3,-2,pothole
-6,2,-5,pothole
20,7,-1,pothole
23,-6,1,pothole
11,-9,0,pothole
4,-7,-1,pothole
8,4,-1,pothole
9,4,2,pothole
-6,3,-1,pothole
-3,1,0,pothole
9,1,1,pothole
25,11,1,pothole
3,1,3,pothole
-10,-6,5,pothole
14,-1,2,pothole
8,9,0,pothole
12,15,0,pothole
6,15,1,pothole
17,2,3,pothole
29,-8,4,pothole
