X,Y,Z,Label
9,1,-1,smooth
0,5,-10,smooth
5,0,-9,smooth
-1,-1,-9,smooth
7,-7,-8,smooth
-4,-1,-7,smooth
-2,3,-7,smooth
-1,-4,-5,smooth
-2,-10,-3,smooth
3,-11,-4,smooth
6,-4,-3,smooth
6,-5,-4,smooth
6,-2,-2,smooth
3,-3,-2,smooth
5,-5,-2,smooth
7,-5,-1,smooth
6,-5,-1,smooth
6,3,0,smooth
11,-1,0,smooth
9,4,0,smooth
7,2,0,smooth
13,-1,0,smooth
15,-2,0,smooth
9,-1,-1,smooth
8,2,-1,smooth
3,3,0,smooth
3,6,0,smooth
12,-2,0,smooth
10,-3,0,smooth
7,2,-1,smooth
1,3,-1,smooth
7,5,-1,smooth
4,-1,1,smooth
9,-6,0,smooth
5,0,0,smooth
7,-1,0,smooth
12,-3,0,smooth
7,0,-1,pothole
12,3,0,pothole
18,4,0,pothole
7,2,0,pothole
10,2,-1,pothole
11,11,-2,pothole
8,13,-2,pothole
7,4,-1,pothole
3,5,-1,pothole
12,-1,2,pothole
11,-5,0,pothole
11,1,-2,pothole
3,10,-2,pothole
3,10,-2,pothole
5,-2,0,pothole
4,-2,0,pothole
14,-12,1,pothole
11,-2,-1,pothole
11,-3,-2,pothole
4,4,-2,pothole
8,9,-4,pothole
3,10,-4,pothole
3,6,-2,pothole
7,-4,-1,pothole
5,-6,0,pothole
12,-3,-1,pothole
1,-4,-2,pothole
14,0,-1,pothole
10,8,-3,pothole
9,2,-2,pothole
3,2,-1,pothole
2,-5,-2,pothole
13,-2,-1,pothole
3,-1,-2,pothole
13,5,-2,pothole
6,4,-2,pothole
9,8,-1,pothole
9,1,-2,pothole
11,-2,-1,pothole
0,-1,-2,pothole
1,2,-1,pothole
7,-8,-1,pothole
9,-4,0,pothole
15,-2,-2,pothole
2,7,-1,pothole
10,2,0,pothole
14,1,-1,pothole
7,3,0,pothole
5,-1,1,pothole
9,-3,0,pothole
11,0,0,pothole
4,0,0,pothole
15,-1,0,pothole
5,6,-1,pothole
16,3,-1,pothole
8,3,0,pothole
9,2,-1,pothole
18,1,1,pothole
13,-3,1,pothole
11,-5,0,pothole
7,-2,0,pothole
15,3,-1,smooth
4,2,-1,smooth
9,-3,0,smooth
11,1,0,smooth
11,5,-2,smooth
5,9,-2,smooth
8,6,-1,smooth
2,6,0,smooth
14,-7,1,smooth
5,-9,1,smooth
9,-6,-1,smooth
9,5,-3,smooth
4,6,-4,smooth
4,4,-1,smooth
1,-5,-1,smooth
-1,-7,-2,smooth
4,3,-3,smooth
4,8,-3,smooth
9,3,-2,smooth
11,0,-1,smooth
8,-3,-1,smooth
6,0,-1,smooth
4,1,-2,smooth
7,3,-1,smooth
-3,1,-2,smooth
6,4,-2,smooth
7,2,0,smooth
11,-2,0,smooth
4,-1,0,smooth
12,-2,0,smooth
14,-1,1,smooth
12,3,0,smooth
2,1,-2,smooth
4,-1,-1,smooth
1,7,-1,smooth
1,6,-2,smooth
5,-3,2,smooth
8,-8,2,smooth
9,3,0,smooth
8,4,0,smooth
9,1,2,smooth
6,-2,1,smooth
14,-5,2,smooth
10,-1,0,smooth
9,2,1,smooth
5,6,1,smooth
4,7,0,smooth
3,6,0,smooth
3,-3,1,smooth
17,0,1,smooth
9,5,0,smooth
1,-2,0,smooth
3,-5,0,smooth
6,-1,-1,smooth
5,2,-1,smooth
6,3,-1,smooth
11,3,-1,smooth
10,0,0,smooth
11,1,0,smooth
9,-1,0,smooth
9,-1,0,smooth
13,-5,0,smooth
17,0,-1,smooth
15,5,-2,smooth
12,5,-1,smooth
5,1,-2,smooth
7,7,-2,smooth
5,-2,0,smooth
16,-2,0,smooth
26,6,-3,smooth
10,1,0,smooth
7,0,0,pothole
13,-8,0,pothole
12,-3,-1,pothole
5,12,-1,pothole
15,6,-2,smooth
9,7,-1,smooth
12,-9,1,smooth
12,-4,2,smooth
9,-6,-2,smooth
4,3,-2,smooth
12,-1,0,smooth
13,4,-1,smooth
9,1,0,smooth
6,-4,0,smooth
0,7,-2,pothole
6,-6,0,pothole
9,-9,-1,pothole
12,-2,1,pothole
2,-8,-1,pothole
4,3,-1,pothole
4,2,-2,pothole
0,0,-1,smooth
9,-3,0,smooth
8,-5,-1,smooth
3,-9,1,smooth
-1,7,-3,smooth
3,1,-1,smooth
2,8,-1,smooth
2,-8,-1,pothole
3,-2,0,pothole
7,-4,-1,pothole
7,-3,0,smooth
0,-7,0,smooth
6,-8,-1,smooth
10,1,-2,smooth
3,2,-3,smooth
6,0,-1,smooth
12,-1,-1,smooth
10,1,-1,smooth
10,-2,0,smooth
7,-3,-1,smooth
4,2,-1,smooth
9,-3,-1,smooth
3,-1,-1,smooth
12,-6,0,smooth
13,-7,0,smooth
8,-7,0,smooth
8,0,-2,smooth
3,7,-2,pothole
6,5,0,pothole
8,0,0,pothole
11,-2,0,pothole
6,-3,0,pothole
8,-2,-1,pothole
9,2,-1,pothole
16,-2,0,smooth
15,-4,1,smooth
11,-9,1,smooth
5,-5,0,smooth
13,3,0,smooth
11,5,0,smooth
12,3,1,smooth
13,2,1,smooth
17,-8,3,smooth
6,-4,1,smooth
4,3,0,smooth
9,-1,1,smooth
13,-5,2,smooth
17,-4,2,smooth
4,0,-1,smooth
14,2,0,smooth
6,2,1,smooth
4,1,0,smooth
1,-4,1,smooth
13,-3,0,smooth
19,8,-2,smooth
15,4,1,smooth
12,-4,0,smooth
5,-5,-2,smooth
14,6,-2,smooth
4,5,-3,smooth
3,0,-1,smooth
7,-1,-2,smooth
6,-6,0,smooth
9,-2,-1,smooth
10,8,-3,smooth
-3,-4,-2,smooth
3,-7,-1,smooth
3,-6,-2,smooth
-3,4,-3,smooth
6,7,-3,smooth
3,-1,-1,smooth
5,-2,-1,smooth
9,-5,-1,smooth
12,-3,-1,smooth
-1,2,-3,smooth
-3,-2,-3,smooth
3,1,-1,smooth
6,-9,-2,smooth
4,-2,-2,smooth
2,4,-3,smooth
9,-3,-1,smooth
10,-3,-2,smooth
8,-6,-2,smooth
17,-5,-1,smooth
8,3,-2,smooth
8,5,-3,smooth
9,3,-1,smooth
16,-5,0,smooth
16,-11,0,smooth
16,-4,1,smooth
14,5,-4,pothole
6,8,-2,pothole
3,-1,0,pothole
8,-5,0,pothole
14,-2,-1,pothole
9,8,-2,pothole
17,2,-1,pothole
6,2,-1,pothole
-3,2,-3,pothole
2,2,-1,pothole
-2,6,-2,pothole
11,-4,1,pothole
22,-14,1,pothole
1,-7,-1,pothole
4,4,-3,pothole
4,5,-2,pothole
-3,2,-1,pothole
4,-2,-1,pothole
9,-3,0,pothole
1,0,0,pothole
12,1,0,pothole
11,-4,-1,pothole
11,7,-1,smooth
13,2,0,pothole
10,1,-1,smooth
1,-1,-1,pothole
9,-2,1,pothole
13,1,-1,pothole
7,7,-2,pothole
3,14,-2,pothole
15,4,0,pothole
13,-4,1,pothole
14,-13,0,pothole
8,-5,-1,pothole
6,1,0,pothole
24,-2,0,pothole
2,-1,0,pothole
16,-5,-1,pothole
5,-1,-2,pothole
-2,7,-2,pothole
12,8,-2,pothole
9,6,0,pothole
15,-1,1,pothole
16,12,0,pothole
5,7,-2,smooth
9,4,2,smooth
7,-3,1,smooth
6,0,1,smooth
9,-1,1,smooth
3,-2,1,smooth
7,-4,1,pothole
15,0,1,pothole
10,4,0,pothole
16,7,-1,pothole
6,4,0,pothole
8,1,2,pothole
12,1,-1,pothole
4,8,-2,pothole
5,13,-1,pothole
9,-1,0,pothole
15,0,1,pothole
9,0,-1,pothole
17,0,-1,pothole
16,10,-1,pothole
6,2,-1,smooth
8,-2,0,smooth
13,-4,-1,smooth
1,-2,-1,smooth
17,5,-1,smooth
